TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,3,0
1,0,0
2,0,1
3,0,0
4,0,1
5,0,0
6,0,1
7,0,0
8,0,0
9,0,1
10,0,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,0
16,0,0
17,0,1
18,0,1
19,0,0
20,0,1
21,0,0
22,0,1
23,0,0
24,0,1
25,0,2
26,0,1
27,0,0
28,0,0
29,0,1
30,0,0
31,0,1
32,0,0
33,0,1
34,0,1
35,0,0
36,0,1
37,0,0
38,0,1
39,0,0
40,0,1
41,0,0
42,0,1
43,0,1
44,0,0
45,0,0
46,0,0
47,0,0
48,1,4
49,0,1
50,0,0
51,0,0
52,0,1
53,0,0
54,0,1
55,0,1
56,0,2
57,0,0
58,0,0
59,0,1
60,0,1
61,0,0
62,0,0
63,0,5
64,0,2
65,0,0
66,0,1
67,0,0
68,0,1
69,0,1
70,0,1
71,0,0
72,0,2
73,0,2
74,0,0
75,0,0
76,0,1
77,0,0
78,0,0
79,0,1
80,0,0
81,0,2
